                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4665,                0.77566,                 1.0862,                0.71053,                 0.6192,                0.66921,                0.30784,                 1.9319,                 1.9459,                 1.0802,               0.069019,              0.0030185,              0.0030185
                     35,                  1.612,                0.79759,                 1.0964,                0.69529,                  0.657,                0.65647,                0.30991,                 1.8793,                 1.6121,                 1.0673,               0.068096,              0.0030958,              0.0030958
                     36,                 2.0482,                0.83069,                 1.0841,                0.69944,                0.66563,                 0.6733,                0.29826,                 1.9495,                 1.5772,                  1.051,               0.067172,              0.0031723,              0.0031723
                     37,                  1.587,                0.81038,                 1.0776,                0.67164,                0.68392,                0.64886,                0.29905,                 1.9182,                 1.9287,                  1.046,               0.066248,              0.0032482,              0.0032482
                     38,                 1.4502,                0.79824,                 1.1215,                0.70333,                0.65944,                0.66227,                0.31652,                 1.8863,                 1.9509,                 1.0459,               0.065323,              0.0033235,              0.0033235
                     39,                  1.701,                0.75174,                 1.0585,                0.69965,                0.67791,                0.68386,                0.30668,                 1.8917,                 1.8911,                 1.0366,               0.064398,              0.0033981,              0.0033981
                     40,                 1.7458,                0.78945,                 1.0872,                0.68631,                0.68421,                0.68051,                 0.3145,                 1.8779,                 1.8855,                 1.0227,               0.063472,               0.003472,               0.003472
                     41,                 1.5094,                0.72669,                 1.0641,                0.72631,                0.66563,                0.68534,                0.29568,                 1.9506,                 2.1468,                 1.0214,               0.062545,              0.0035453,              0.0035453
                     42,                 1.7282,                 0.7771,                 1.0585,                0.68603,                0.67802,                0.69941,                0.31824,                 1.8752,                 1.8183,                  1.016,               0.061618,              0.0036179,              0.0036179
                     43,                 1.9022,                0.93785,                 1.1293,                0.71313,                0.66873,                0.67881,                0.29961,                 1.9393,                 1.2859,                 1.0219,                0.06069,              0.0036898,              0.0036898
                     44,                 1.5433,                0.95309,                 1.1359,                 0.6991,                0.65635,                0.66856,                0.29826,                 1.9053,                 1.3314,                 1.0223,               0.059761,              0.0037611,              0.0037611
                     45,                 1.6505,                 0.7692,                 1.0329,                0.72651,                0.64706,                0.68351,                0.32504,                 1.8493,                 1.6357,                 1.0172,               0.058832,              0.0038317,              0.0038317
                     46,                 1.4024,                 0.8152,                 1.1234,                0.75273,                0.63145,                0.66416,                0.31709,                  1.807,                 1.4395,                 1.0222,               0.057902,              0.0039017,              0.0039017
                     47,                  1.451,                0.71578,                  1.031,                0.74826,                0.64396,                0.67123,                0.32347,                 1.7995,                 1.4785,                 1.0164,               0.056971,               0.003971,               0.003971
                     48,                 1.2842,                0.66348,                  1.032,                0.76244,                0.65015,                0.67919,                0.31566,                 1.8173,                 1.5325,                 1.0217,                0.05604,              0.0040397,              0.0040397
                     49,                 1.9423,                0.76868,                 1.0553,                0.74431,                0.67183,                0.68419,                0.28234,                 1.9975,                 1.6129,                 1.0306,               0.055108,              0.0041077,              0.0041077
                     50,                 1.7887,                0.75121,                0.98389,                0.74431,                0.67183,                0.68419,                0.28234,                 1.9975,                 1.6129,                 1.0306,               0.054175,               0.004175,               0.004175
                     51,                 1.6921,                0.72731,                  1.003,                0.70177,                0.67802,                0.65328,                0.27602,                 1.9531,                 2.0006,                 1.0329,               0.053242,              0.0042417,              0.0042417
                     52,                 1.7038,                0.76428,                0.99175,                0.70177,                0.67802,                0.65328,                0.27602,                 1.9531,                 2.0006,                 1.0329,               0.052308,              0.0043077,              0.0043077
                     53,                 1.5696,                0.95456,                 1.1704,                0.70501,                0.65015,                0.62029,                0.27716,                 1.9165,                 1.3525,                 1.0322,               0.051373,               0.004373,               0.004373
                     54,                 1.8538,                0.82056,                 1.0627,                0.70501,                0.65015,                0.62029,                0.27716,                 1.9165,                 1.3525,                 1.0322,               0.050438,              0.0044377,              0.0044377
                     55,                 1.7765,                0.78794,                 1.0398,                0.73486,                0.68645,                0.67757,                0.28639,                   1.88,                 1.4298,                 1.0301,               0.049502,              0.0045017,              0.0045017
                     56,                 1.3347,                0.80555,                 1.0535,                0.73486,                0.68645,                0.67757,                0.28639,                   1.88,                 1.4298,                 1.0301,               0.048565,              0.0045651,              0.0045651
                     57,                 1.4002,                0.78975,                 1.0376,                0.74965,                0.67492,                0.67314,                0.28975,                 1.8866,                 1.3521,                 1.0406,               0.047628,              0.0046278,              0.0046278
                     58,                 1.3266,                0.68611,                 1.0128,                0.74965,                0.67492,                0.67314,                0.28975,                 1.8866,                 1.3521,                 1.0406,                0.04669,              0.0046899,              0.0046899
                     59,                 1.9391,                0.75485,                 1.0019,                0.73583,                0.66563,                 0.6791,                0.24622,                 2.0943,                  1.561,                 1.0457,               0.045751,              0.0047513,              0.0047513
                     60,                 1.8112,                0.75035,                 1.0158,                0.73583,                0.66563,                 0.6791,                0.24622,                 2.0943,                  1.561,                 1.0457,               0.044812,               0.004812,               0.004812
                     61,                 1.3832,                0.86174,                  1.112,                 0.7337,                0.63974,                0.66837,                0.28019,                 1.9608,                 1.2762,                 1.0351,               0.043872,              0.0048721,              0.0048721
                     62,                 1.3131,                0.71119,                 1.0438,                 0.7337,                0.63974,                0.66837,                0.28019,                 1.9608,                 1.2762,                 1.0351,               0.042931,              0.0049315,              0.0049315
                     63,                 1.2931,                0.78386,                 1.0985,                0.70125,                0.61771,                0.63965,                0.28869,                 1.9285,                 1.3076,                 1.0469,                0.04199,              0.0049902,              0.0049902
                     64,                 1.3784,                0.86683,                 1.1472,                0.70125,                0.61771,                0.63965,                0.28869,                 1.9285,                 1.3076,                 1.0469,               0.041048,              0.0050483,              0.0050483
                     65,                 1.3104,                0.72968,                 1.0511,                0.72716,                 0.6192,                0.65928,                0.29651,                 1.9402,                 1.3906,                 1.0521,               0.040106,              0.0051057,              0.0051057
                     66,                 1.6703,                0.75096,                 1.0316,                0.72716,                 0.6192,                0.65928,                0.29651,                 1.9402,                 1.3906,                 1.0521,               0.039163,              0.0051625,              0.0051625
                     67,                  1.581,                0.80399,                 1.0786,                0.73162,                0.64706,                0.71368,                0.30331,                 1.9757,                 1.2718,                 1.0513,               0.038219,              0.0052186,              0.0052186
                     68,                 1.3772,                0.74632,                 1.0079,                0.73162,                0.64706,                0.71368,                0.30331,                 1.9757,                 1.2718,                 1.0513,               0.037274,              0.0052741,              0.0052741
                     69,                 1.3757,                0.77472,                 1.0515,                 0.7638,                 0.6207,                  0.703,                0.32586,                 1.8851,                 1.3639,                 1.0341,               0.036329,              0.0053289,              0.0053289
                     70,                 1.4381,                0.68507,                0.98427,                 0.7638,                 0.6207,                  0.703,                0.32586,                 1.8851,                 1.3639,                 1.0341,               0.035383,               0.005383,               0.005383
                     71,                 1.3836,                 0.7131,                 1.0114,                0.76317,                0.66873,                0.71694,                0.32577,                 1.8941,                 1.6453,                 1.0209,               0.034436,              0.0054365,              0.0054365
                     72,                 1.5065,                0.75901,                0.98306,                0.76317,                0.66873,                0.71694,                0.32577,                 1.8941,                 1.6453,                 1.0209,               0.033489,              0.0054893,              0.0054893
                     73,                 1.2859,                0.73265,                0.99647,                0.82546,                0.60991,                0.69234,                0.32273,                 1.8289,                 1.0479,                 1.0157,               0.032541,              0.0055414,              0.0055414
                     74,                 1.4385,                0.71577,                0.98174,                0.82546,                0.60991,                0.69234,                0.32273,                 1.8289,                 1.0479,                 1.0157,               0.031593,              0.0055929,              0.0055929
                     75,                 1.2945,                0.69796,                0.98534,                0.77746,                0.64895,                0.70087,                0.30469,                 1.9678,                 1.5847,                 1.0266,               0.030644,              0.0056438,              0.0056438
                     76,                 1.3808,                0.89159,                 1.0338,                0.77746,                0.64895,                0.70087,                0.30469,                 1.9678,                 1.5847,                 1.0266,               0.029694,              0.0056939,              0.0056939
                     77,                 1.3245,                0.70977,                 1.0025,                0.79627,                0.62925,                0.69486,                0.30951,                 1.8879,                 1.0616,                 1.0304,               0.028743,              0.0057434,              0.0057434
                     78,                 1.4811,                0.70049,                0.97456,                0.79627,                0.62925,                0.69486,                0.30951,                 1.8879,                 1.0616,                 1.0304,               0.027792,              0.0057923,              0.0057923
                     79,                 1.2727,                0.66496,                0.98791,                 0.7852,                 0.6451,                0.70117,                0.28004,                 2.1018,                 1.2768,                 1.0623,                0.02684,              0.0058405,              0.0058405
                     80,                 1.5888,                 0.7782,                 1.0434,                 0.7852,                 0.6451,                0.70117,                0.28004,                 2.1018,                 1.2768,                 1.0623,               0.025888,               0.005888,               0.005888
                     81,                 1.4425,                0.67271,                 1.0119,                 0.7501,                0.65015,                0.69229,                0.29508,                 1.9351,                 1.1283,                 1.0552,               0.024935,              0.0059349,              0.0059349
                     82,                  1.261,                0.65857,                0.99655,                 0.7501,                0.65015,                0.69229,                0.29508,                 1.9351,                 1.1283,                 1.0552,               0.023981,              0.0059811,              0.0059811
                     83,                 1.2126,                0.71314,                 1.0037,                0.75174,                0.65015,                0.67488,                0.29804,                 1.9445,                 1.0301,                 1.0638,               0.023027,              0.0060266,              0.0060266
                     84,                 1.8263,                0.76833,                 1.0047,                0.75174,                0.65015,                0.67488,                0.29804,                 1.9445,                 1.0301,                 1.0638,               0.022072,              0.0060715,              0.0060715
                     85,                 1.1598,                0.66467,                0.97938,                0.78296,                0.62545,                 0.6824,                0.29111,                 2.0151,                 1.3957,                 1.0705,               0.021116,              0.0061157,              0.0061157
                     86,                 1.6734,                0.79085,                 1.0126,                0.78296,                0.62545,                 0.6824,                0.29111,                 2.0151,                 1.3957,                 1.0705,               0.020159,              0.0061593,              0.0061593
                     87,                 1.5935,                0.70477,                 1.0143,                0.70871,                0.58514,                0.61692,                0.24216,                 2.0732,                 1.3881,                 1.0838,               0.019202,              0.0062022,              0.0062022
                     88,                 1.8314,                0.76506,                 1.0409,                0.70871,                0.58514,                0.61692,                0.24216,                 2.0732,                 1.3881,                 1.0838,               0.018244,              0.0062445,              0.0062445
                     89,                 1.3506,                0.72701,                0.99562,                0.67185,                0.64653,                0.65936,                 0.2665,                 2.0093,                 1.1012,                 1.0797,               0.017286,              0.0062861,              0.0062861
                     90,                  1.483,                0.71837,                 0.9943,                0.67185,                0.64653,                0.65936,                 0.2665,                 2.0093,                 1.1012,                 1.0797,               0.016327,               0.006327,               0.006327
                     91,                 1.2519,                0.67693,                0.98591,                0.66553,                0.63158,                0.64841,                0.27188,                 2.0398,                 1.2963,                 1.1032,               0.015367,              0.0063673,              0.0063673
                     92,                 1.3123,                0.64726,                 1.0077,                0.66553,                0.63158,                0.64841,                0.27188,                 2.0398,                 1.2963,                 1.1032,               0.014407,              0.0064069,              0.0064069
