                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7388,                 3.6189,                 1.8616,                   0.12,                0.22291,                 0.0751,                0.02631,                 2.1992,                 3.4449,                 1.0627,                    0.1,                      0,                      0
                      1,                 3.6848,                 3.5714,                 1.7441,                0.12167,                0.22601,                0.07635,                0.02637,                 2.1788,                 3.4327,                 1.0576,                 0.0991,              9.989e-05,              9.989e-05
                      2,                 3.5759,                 3.5843,                 1.7999,                0.12333,                 0.2291,                0.07715,                0.02649,                 2.1554,                  3.415,                 1.0537,                 0.0982,             0.00019956,             0.00019956
                      3,                 3.0295,                 3.5377,                 1.7067,                0.12167,                0.22601,                0.07685,                 0.0274,                 2.1297,                 3.3951,                 1.0509,               0.097299,             0.00029901,             0.00029901
                      4,                 3.3005,                 3.5269,                 1.6725,                   0.12,                0.22291,                0.07639,                0.02833,                 2.1048,                 3.3729,                 1.0476,               0.096398,             0.00039824,             0.00039824
                      5,                 3.0186,                 3.4984,                 1.6815,                   0.12,                0.22291,                0.07625,                0.02947,                 2.0791,                 3.3471,                 1.0436,               0.095497,             0.00049725,             0.00049725
                      6,                 2.5068,                  3.475,                 1.6585,                0.12167,                0.22601,                0.07728,                0.02962,                 2.0586,                 3.3181,                 1.0415,               0.094596,             0.00059604,             0.00059604
                      7,                 2.7921,                 3.4335,                 1.6304,                  0.125,                 0.2322,                0.07946,                0.03094,                 2.0316,                  3.287,                 1.0395,               0.093695,             0.00069461,             0.00069461
                      8,                 2.6252,                 3.3978,                 1.5199,                  0.135,                0.25077,                 0.0866,                0.03216,                 2.0213,                 3.2543,                  1.043,               0.092793,             0.00079296,             0.00079296
                      9,                 2.7437,                 3.3285,                 1.5316,                0.14333,                0.26625,                0.09257,                0.03466,                 2.0091,                 3.2171,                 1.0493,               0.091891,             0.00089109,             0.00089109
                     10,                 3.4298,                 3.2594,                  1.511,                0.13833,                0.25697,                 0.0898,                0.03458,                 1.9993,                 3.1798,                 1.0548,               0.090989,               0.000989,               0.000989
                     11,                 2.0368,                  3.205,                 1.4923,                0.13833,                0.25697,                0.09016,                0.03538,                 2.0121,                 3.1393,                 1.0633,               0.090087,              0.0010867,              0.0010867
                     12,                 3.2429,                 3.1431,                 1.4126,                0.14167,                0.26316,                0.09213,                0.03636,                 2.0501,                 3.0962,                 1.0728,               0.089184,              0.0011842,              0.0011842
                     13,                 2.5389,                 3.1079,                 1.3798,                0.14667,                0.27245,                0.09606,                0.03742,                 2.0882,                 3.0497,                  1.076,               0.088281,              0.0012814,              0.0012814
                     14,                  2.203,                 3.0191,                  1.308,                0.15667,                0.29102,                0.10255,                0.03997,                 2.0512,                 2.9986,                 1.0703,               0.087378,              0.0013784,              0.0013784
                     15,                 1.9958,                  2.965,                 1.3415,                0.16333,                0.30341,                0.10718,                0.04329,                 1.9913,                 2.9445,                  1.067,               0.086475,              0.0014752,              0.0014752
                     16,                 2.2711,                 2.8489,                 1.2772,                0.33167,                 0.6161,                0.29925,                0.13836,                 1.9523,                 2.8801,                 1.0604,               0.085572,              0.0015718,              0.0015718
                     17,                 2.1603,                 2.7459,                 1.2679,                  0.345,                0.64087,                0.32152,                0.14942,                 1.9288,                 2.8043,                 1.0628,               0.084668,              0.0016682,              0.0016682
