                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0872,                 1.1164,                  1.139,                0.74785,                0.63034,                0.69726,                0.36613,                 1.7486,                0.83191,                  1.031,               0.070059,              0.0033268,              0.0033268
                      1,                 1.8685,                0.88496,                 1.0422,                 0.7874,                0.68387,                 0.7547,                0.40687,                 1.6399,                0.79898,                0.98901,               0.039795,              0.0063964,              0.0063964
                      2,                 1.8308,                0.86368,                 1.0234,                0.79273,                0.68394,                 0.7546,                0.40886,                 1.6511,                0.79141,                0.98388,              0.0092671,               0.009202,               0.009202
                      3,                 1.7691,                0.82955,                 1.0044,                0.80761,                0.71455,                0.78262,                0.43575,                 1.5785,                0.76888,                0.96864,               0.008812,               0.008812,               0.008812
                      4,                 1.7127,                0.80106,                0.99102,                0.82331,                0.72408,                0.79529,                0.45163,                 1.5452,                0.72418,                0.95293,               0.008812,               0.008812,               0.008812
                      5,                  1.664,                0.77749,                0.98035,                0.80019,                0.70475,                0.78408,                0.44444,                 1.5401,                0.74156,                0.94936,               0.008416,               0.008416,               0.008416
                      6,                 1.6463,                0.76424,                 0.9704,                0.80868,                0.72916,                0.80072,                0.45754,                 1.5205,                0.72278,                0.94252,                0.00802,                0.00802,                0.00802
                      7,                 1.6301,                 0.7525,                0.96671,                0.83543,                 0.7325,                 0.8079,                0.47095,                 1.4928,                0.69882,                0.93793,               0.007624,               0.007624,               0.007624
                      8,                 1.6115,                0.74372,                0.96171,                0.84864,                0.75273,                0.82567,                0.48152,                 1.4759,                0.68696,                0.93025,               0.007228,               0.007228,               0.007228
                      9,                 1.5945,                0.73421,                0.95714,                 0.8371,                0.74849,                0.82386,                0.48176,                 1.4699,                0.68752,                0.92798,               0.006832,               0.006832,               0.006832
                     10,                  1.574,                0.72367,                0.95413,                0.84878,                0.75359,                0.83013,                0.48714,                 1.4605,                0.67318,                0.92598,               0.006436,               0.006436,               0.006436
                     11,                 1.5647,                 0.7178,                0.94971,                0.85379,                0.75874,                0.83182,                0.49092,                 1.4459,                0.66199,                0.92099,                0.00604,                0.00604,                0.00604
                     12,                 1.5562,                0.71128,                0.94804,                 0.8493,                0.74635,                0.81987,                0.48603,                  1.459,                0.65982,                0.92835,               0.005644,               0.005644,               0.005644
                     13,                 1.5426,                0.70315,                0.94389,                0.85905,                 0.7608,                0.83248,                0.49518,                 1.4421,                0.65309,                0.92213,               0.005248,               0.005248,               0.005248
                     14,                 1.5359,                0.69983,                0.94273,                0.85959,                0.76648,                0.84126,                0.50157,                 1.4326,                0.64956,                0.91666,               0.004852,               0.004852,               0.004852
                     15,                 1.4934,                0.69219,                0.95562,                0.85077,                0.75934,                0.83829,                0.49566,                 1.4351,                0.65851,                0.91577,               0.004456,               0.004456,               0.004456
                     16,                  1.485,                0.68429,                0.94976,                0.85671,                0.76851,                0.84305,                0.49911,                 1.4337,                0.65039,                0.91543,                0.00406,                0.00406,                0.00406
                     17,                 1.4758,                0.67645,                0.94863,                0.86393,                0.76796,                0.84618,                0.50557,                  1.423,                0.64166,                0.91244,               0.003664,               0.003664,               0.003664
                     18,                 1.4724,                0.67205,                0.94691,                0.86291,                0.77045,                 0.8465,                0.50466,                 1.4235,                0.64193,                0.91242,               0.003268,               0.003268,               0.003268
                     19,                 1.4619,                0.66566,                0.94412,                0.86522,                0.77252,                0.84726,                0.50838,                 1.4138,                0.63595,                0.91059,               0.002872,               0.002872,               0.002872
                     20,                 1.4567,                  0.662,                0.94215,                0.86683,                0.77084,                0.84922,                0.51004,                 1.4087,                 0.6337,                 0.9094,               0.002476,               0.002476,               0.002476
                     21,                 1.4499,                0.65642,                0.94039,                0.86815,                0.77379,                0.85163,                0.51063,                 1.4097,                0.62953,                0.90864,                0.00208,                0.00208,                0.00208
                     22,                 1.4449,                 0.6516,                 0.9375,                0.86765,                0.77622,                0.85148,                0.51345,                 1.4014,                0.62562,                0.90771,               0.001684,               0.001684,               0.001684
                     23,                 1.4374,                0.64634,                0.93591,                0.87257,                0.77976,                 0.8552,                0.51616,                 1.3956,                0.62136,                0.90559,               0.001288,               0.001288,               0.001288
                     24,                 1.4345,                0.64404,                0.93506,                0.87428,                0.77996,                0.85641,                  0.518,                 1.3923,                0.61877,                0.90482,               0.000892,               0.000892,               0.000892
