                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                  3.667,                 3.0504,                 1.6158,                0.65105,                0.54489,                0.58405,                0.25905,                 2.0517,                 1.1837,                 1.0567,               0.088725,              0.0007248,              0.0007248
                     13,                 2.7585,                  2.792,                 1.4821,                0.66767,                0.55108,                 0.6051,                0.26841,                 2.0347,                 1.2696,                 1.0561,               0.087742,              0.0007423,              0.0007423
                     14,                 2.2339,                  1.905,                 1.3415,                0.65174,                 0.5736,                0.62494,                0.27655,                 2.0138,                 1.4663,                 1.0529,               0.086753,              0.0007532,              0.0007532
                     15,                 2.2692,                 2.1479,                 1.4392,                0.66054,                0.56966,                0.63055,                0.28078,                 2.0045,                 1.6927,                 1.0523,               0.085758,              0.0007575,              0.0007575
                     16,                  2.427,                 1.8121,                 1.3746,                 0.6408,                0.57895,                0.63416,                0.28212,                 1.9908,                  1.934,                 1.0513,               0.084755,              0.0007552,              0.0007552
                     17,                 2.3754,                 1.9163,                 1.3406,                 0.6408,                0.57895,                0.63416,                0.28212,                 1.9908,                  1.934,                 1.0513,               0.083746,              0.0007463,              0.0007463
                     18,                 2.6277,                 1.9353,                 1.3695,                0.65074,                0.56656,                0.63875,                0.28929,                 1.9915,                 2.1543,                 1.0523,               0.082731,              0.0007308,              0.0007308
                     19,                 2.2598,                 1.8067,                 1.3766,                0.65074,                0.56656,                0.63875,                0.28929,                 1.9915,                 2.1543,                 1.0523,               0.081709,              0.0007087,              0.0007087
                     20,                 2.2693,                 1.5388,                 1.2672,                0.65263,                0.56656,                0.63821,                0.28852,                 1.9909,                 2.1853,                 1.0533,                0.08068,                0.00068,                0.00068
                     21,                 2.0382,                 1.6656,                 1.3554,                0.65263,                0.56656,                0.63821,                0.28852,                 1.9909,                 2.1853,                 1.0533,               0.079645,              0.0006447,              0.0006447
                     22,                 2.1398,                 1.6393,                 1.3386,                0.63948,                0.56015,                0.62625,                 0.2855,                 1.9972,                 2.1886,                 1.0554,               0.078603,              0.0006028,              0.0006028
                     23,                 2.4346,                 1.5369,                 1.1958,                0.63948,                0.56015,                0.62625,                 0.2855,                 1.9972,                 2.1886,                 1.0554,               0.077554,              0.0005543,              0.0005543
                     24,                 2.0228,                 1.5353,                 1.3872,                0.64286,                0.55172,                0.61961,                0.28076,                  1.998,                 2.1473,                 1.0571,               0.076499,              0.0004992,              0.0004992
                     25,                  2.173,                 1.4548,                 1.1909,                0.64286,                0.55172,                0.61961,                0.28076,                  1.998,                 2.1473,                 1.0571,               0.075438,              0.0004375,              0.0004375
                     26,                 2.1997,                 1.4384,                 1.2414,                0.66016,                0.54729,                0.61408,                0.27558,                 1.9988,                 2.0382,                 1.0583,               0.074369,              0.0003692,              0.0003692
                     27,                 1.9583,                 1.3648,                 1.3344,                0.66016,                0.54729,                0.61408,                0.27558,                 1.9988,                 2.0382,                 1.0583,               0.073294,              0.0002943,              0.0002943
                     28,                 2.0022,                 1.4806,                 1.3339,                0.66375,                0.54799,                0.60871,                0.27222,                 2.0139,                 1.9956,                 1.0615,               0.072213,              0.0002128,              0.0002128
                     29,                 1.9958,                 1.3332,                 1.2879,                0.66375,                0.54799,                0.60871,                0.27222,                 2.0139,                 1.9956,                 1.0615,               0.071125,              0.0001247,              0.0001247
