                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6791,                 4.4932,                 1.8287,                0.28463,                0.44582,                0.33158,                0.13231,                 2.2997,                 2.8576,                 1.0207,                    0.1,                      0,                      0
                      1,                 3.7433,                 4.5363,                 1.7475,                0.27614,                0.45201,                0.32764,                0.13529,                 2.3026,                 2.8085,                 1.0262,               0.099097,               9.67e-05,               9.67e-05
                      2,                 3.6111,                 4.4545,                 1.8403,                0.27608,                0.45576,                0.32721,                0.13596,                 2.2939,                 2.7523,                  1.028,               0.098187,              0.0001868,              0.0001868
                      3,                 2.9224,                 4.3403,                 1.6964,                0.26179,                0.47988,                0.33369,                 0.1384,                  2.276,                  2.664,                 1.0302,                0.09727,              0.0002703,              0.0002703
                      4,                  3.596,                 4.5341,                 1.7474,                0.26833,                0.49845,                 0.3464,                0.14174,                 2.2452,                 2.5474,                 1.0311,               0.096347,              0.0003472,              0.0003472
                      5,                 3.1318,                 4.1395,                 1.7312,                0.28411,                0.49536,                0.35095,                0.14467,                 2.2143,                 2.4108,                 1.0316,               0.095418,              0.0004175,              0.0004175
                      6,                  2.674,                 3.9709,                 1.7503,                0.29968,                0.50464,                0.36778,                0.15496,                 2.1834,                 2.2562,                  1.035,               0.094481,              0.0004812,              0.0004812
                      7,                  3.056,                 3.9248,                 1.7198,                0.31759,                0.52012,                0.40718,                0.17535,                 2.1481,                 2.0533,                 1.0394,               0.093538,              0.0005383,              0.0005383
                      8,                 2.9483,                 3.3009,                 1.6418,                 0.5067,                0.44272,                 0.4624,                0.19537,                 2.1207,                  1.802,                 1.0451,               0.092589,              0.0005888,              0.0005888
                      9,                 3.0073,                  3.462,                 1.6289,                0.58587,                0.43362,                0.50267,                0.21688,                 2.1017,                 1.5462,                 1.0489,               0.091633,              0.0006327,              0.0006327
                     10,                 3.7277,                 3.5248,                 1.6525,                0.61557,                0.51703,                0.53615,                0.23418,                 2.0856,                 1.3254,                 1.0548,                0.09067,                0.00067,                0.00067
                     11,                 2.3477,                  2.791,                 1.5819,                0.63425,                 0.5315,                0.55809,                0.24808,                 2.0727,                 1.2161,                 1.0568,               0.089701,              0.0007007,              0.0007007
