                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7388,                 3.6189,                 1.8616,                   0.12,                0.22291,                 0.0751,                0.02631,                 2.1992,                 3.4449,                 1.0627,                    0.1,                      0,                      0
                      1,                 3.6848,                 3.5714,                 1.7441,                0.12167,                0.22601,                0.07635,                0.02637,                 2.1788,                 3.4327,                 1.0576,                 0.0991,              9.967e-05,              9.967e-05
                      2,                  3.576,                 3.5843,                 1.7999,                0.12333,                 0.2291,                0.07715,                0.02649,                 2.1554,                  3.415,                 1.0537,               0.098199,             0.00019868,             0.00019868
                      3,                 3.0296,                 3.5377,                 1.7067,                0.12167,                0.22601,                0.07685,                 0.0274,                 2.1299,                 3.3951,                 1.0509,               0.097297,             0.00029703,             0.00029703
                      4,                 3.3007,                 3.5269,                 1.6726,                   0.12,                0.22291,                0.07639,                0.02834,                 2.1051,                 3.3729,                 1.0477,               0.096395,             0.00039472,             0.00039472
                      5,                 3.0194,                 3.4984,                 1.6818,                   0.12,                0.22291,                0.07619,                0.02955,                 2.0795,                 3.3471,                 1.0437,               0.095492,             0.00049175,             0.00049175
                      6,                  2.508,                 3.4751,                 1.6589,                0.12167,                0.22601,                0.07721,                0.02948,                 2.0592,                 3.3181,                 1.0416,               0.094588,             0.00058812,             0.00058812
                      7,                 2.7946,                 3.4336,                 1.6314,                  0.125,                 0.2322,                0.07934,                0.03104,                 2.0319,                  3.287,                 1.0394,               0.093684,             0.00068383,             0.00068383
                      8,                 2.6285,                 3.3979,                 1.5212,                  0.135,                0.25077,                0.08645,                0.03222,                 2.0213,                 3.2543,                 1.0427,               0.092779,             0.00077888,             0.00077888
                      9,                 2.7496,                 3.3288,                  1.534,                   0.14,                0.26006,                0.09017,                0.03401,                 2.0096,                 3.2171,                  1.049,               0.091873,             0.00087327,             0.00087327
                     10,                 3.4358,                 3.2599,                 1.5138,                0.13833,                0.25697,                0.08941,                0.03437,                 1.9985,                 3.1802,                 1.0544,               0.090967,               0.000967,               0.000967
                     11,                 2.0432,                 3.2047,                 1.4937,                   0.14,                0.26006,                0.09116,                0.03535,                 2.0124,                 3.1401,                 1.0637,                0.09006,              0.0010601,              0.0010601
                     12,                 3.2506,                 3.1446,                 1.4151,                0.14167,                0.26316,                0.09287,                0.03684,                 2.0546,                 3.0969,                 1.0737,               0.089152,              0.0011525,              0.0011525
                     13,                 2.5431,                 3.1102,                 1.3816,                0.14167,                0.26316,                0.09349,                0.03757,                 2.0929,                 3.0513,                 1.0764,               0.088244,              0.0012442,              0.0012442
                     14,                 2.2019,                 3.0232,                 1.3089,                  0.155,                0.28793,                0.10237,                0.03989,                 2.0577,                 3.0016,                 1.0703,               0.087335,              0.0013353,              0.0013353
                     15,                  2.002,                 2.9724,                 1.3427,                0.16167,                0.30031,                0.10626,                0.04101,                 2.0003,                 2.9497,                 1.0662,               0.086426,              0.0014257,              0.0014257
                     16,                 2.2809,                 2.8616,                 1.2827,                0.31333,                0.58204,                0.27843,                0.13043,                 1.9569,                 2.8879,                 1.0596,               0.085516,              0.0015155,              0.0015155
                     17,                 2.1663,                 2.7633,                 1.2716,                  0.345,                0.64087,                0.32172,                0.14973,                 1.9316,                 2.8148,                 1.0622,               0.084605,              0.0016046,              0.0016046
                     18,                 2.2504,                 2.6454,                 1.2484,                   0.34,                0.63158,                0.32634,                0.15024,                 1.9488,                 2.7321,                 1.0719,               0.083693,              0.0016931,              0.0016931
